country,iso_code,year,mismanaged_waste_per_capita,gdp_per_capita,population,continent,log_gdp,log_mismanaged_waste
Iran,IRN,2010,0.074,17942.83,73763000,Asia,4.2539,-1.1307
Iraq,IRQ,2010,0.067,12717.6,29742000,Asia,4.1044,-1.1739
Ireland,IRL,2010,0.009,44030.41,4554000,Europe,4.6438,-2.0453
Israel,ISR,2010,0.008,29743.01,7346000,Asia,4.4734,-2.0964
Italy,ITA,2010,0.003,36201.16,59325000,Europe,4.5587,-2.5214
Jamaica,JAM,2010,0.01,7996.02,2810000,North America,3.9029,-1.9996
Japan,JPN,2010,0.003,35749.76,128542000,Asia,4.5533,-2.5214
Jordan,JOR,2010,0.086,9472.77,7262000,Asia,3.9765,-1.0655
Kenya,KEN,2010,0.023,2476.01,42031000,Africa,3.3938,-1.6381
Kiribati,KIR,2010,0.088,1731.54,103000,Oceania,3.2384,-1.0555
Kuwait,KWT,2010,0.014,75204.15,2992000,Asia,4.8762,-1.8536
Latvia,LVA,2010,0.02,18251.95,2119000,Europe,4.2613,-1.6988
Lebanon,LBN,2010,0.034,16451.76,4953000,Asia,4.2162,-1.4684
